UID          PID    PPID  C STIME TTY          TIME CMD
robbie       876     857  0 10:37 ?        00:00:01 /usr/libexec/ibus-extension-gtk3
robbie       880       1  0 10:37 ?        00:00:00 /usr/libexec/ibus-x11 --kill-daemon
robbie       883     595  0 10:37 ?        00:00:00 /usr/libexec/ibus-portal
robbie       897     595  0 10:37 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
robbie       909     595  0 10:37 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
robbie       911     595  0 10:37 ?        00:00:00 /usr/libexec/xdg-desktop-portal
robbie       918     595  0 10:37 ?        00:00:00 /usr/libexec/xdg-document-portal
robbie       921     595  0 10:37 ?        00:00:00 /usr/libexec/xdg-permission-store
robbie       930     595  0 10:37 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
robbie       936     595  0 10:37 ?        00:00:00 /usr/libexec/dconf-service
robbie       982     595  0 10:37 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
robbie       998     595  1 10:37 ?        00:00:10 /usr/bin/gnome-shell
robbie      1015     857  0 10:37 ?        00:00:00 /usr/libexec/ibus-engine-simple
robbie      1032     595  0 10:37 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
robbie      1036     595  0 10:37 ?        00:00:00 /usr/libexec/evolution-source-registry
robbie      1059     595  0 10:37 ?        00:00:00 /usr/bin/gjs /usr/share/gnome-shell/org.gnome.Shell.Notifications
robbie      1064     679  0 10:37 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.3 /org/gtk/gvfs/exec_spaw/0
robbie      1075     595  0 10:37 ?        00:00:00 /usr/libexec/evolution-calendar-factory
robbie      1077     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-a11y-settings
robbie      1079     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-color
robbie      1082     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-datetime
robbie      1085     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-housekeeping
robbie      1089     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-keyboard
robbie      1090     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-media-keys
robbie      1092     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-power
robbie      1093     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-print-notifications
robbie      1096     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-rfkill
robbie      1097     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
robbie      1101     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-sharing
robbie      1102     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-smartcard
robbie      1104     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-sound
robbie      1108     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-usb-protection
robbie      1109     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-wacom
robbie      1113     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-wwan
robbie      1116     595  0 10:37 ?        00:00:00 /usr/libexec/gsd-xsettings
robbie      1118     982  0 10:37 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
